Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
104,Vladimír Coufal,cz CZE,DF,West Ham,30-199,1992,18,16,1426,15.8,0,0,0,0,0,0,4,0,0.3,0.3,1.6,1.9,43,73,79,0.00,0.00,0.00,0.00,0.00,0.02,0.10,0.12,0.02,0.12,Matches,fdf3cb77
105,Philippe Coutinho,br BRA,MFFW,Aston Villa,30-270,1992,20,7,788,8.8,1,0,1,1,0,0,3,0,1.4,1.4,0.5,1.8,18,48,68,0.11,0.00,0.11,0.11,0.11,0.16,0.05,0.21,0.16,0.21,Matches,0ef89a37
106,Conor Coventry,ie IRL,MFFW,West Ham,22-349,2000,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,a5ca9127
107,Aaron Cresswell,eng ENG,DF,West Ham,33-084,1989,19,17,1578,17.5,0,0,0,0,0,0,2,0,0.3,0.3,2.6,2.9,27,123,69,0.00,0.00,0.00,0.00,0.00,0.02,0.15,0.17,0.02,0.17,Matches,4f974391
108,Marc Cucurella,es ESP,DF,Chelsea,24-230,1998,20,17,1345,14.9,0,2,2,0,0,0,2,0,0.4,0.4,0.4,0.8,23,53,56,0.00,0.13,0.13,0.00,0.13,0.03,0.03,0.05,0.03,0.05,Matches,1daec722
109,Matheus Cunha,br BRA,FW,Wolves,23-286,1999,8,5,402,4.5,0,0,0,0,0,0,0,0,1.0,1.0,0.5,1.5,5,6,21,0.00,0.00,0.00,0.00,0.00,0.23,0.11,0.34,0.23,0.34,Matches,dc62b55d
110,Patson Daka,zm ZAM,FW,Leicester City,24-151,1998,18,9,720,8.0,3,3,6,3,0,0,2,0,2.4,2.4,2.3,4.7,11,11,48,0.37,0.37,0.75,0.37,0.75,0.30,0.29,0.59,0.30,0.59,Matches,ca45605e
111,Diogo Dalot,pt POR,DF,Manchester Utd,23-356,1999,18,17,1520,16.9,0,2,2,0,0,0,5,0,1.7,1.7,1.6,3.3,37,59,58,0.00,0.12,0.12,0.00,0.12,0.10,0.10,0.20,0.10,0.20,Matches,d9565625
112,Mikkel Damsgaard,dk DEN,MFFW,Brentford,22-249,2000,13,2,388,4.3,0,0,0,0,0,0,2,0,0.5,0.5,0.8,1.3,5,17,22,0.00,0.00,0.00,0.00,0.00,0.11,0.18,0.30,0.11,0.30,Matches,215f3907
113,Danilo,br BRA,MF,Nott'ham Forest,21-314,2001,3,2,148,1.6,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,0,4,2,0.00,0.00,0.00,0.00,0.00,0.02,0.06,0.07,0.02,0.07,Matches,a816dbfb
114,Arnaut Danjuma,nl NED,FW,Tottenham,26-037,1997,1,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,0,5,0.00,0.00,0.00,0.00,0.00,0.00,0.29,0.29,0.00,0.29,Matches,f08490a6
115,Josh Dasilva,eng ENG,MF,Brentford,24-137,1998,24,12,1062,11.8,3,2,5,3,0,0,1,0,0.9,0.9,1.4,2.3,46,48,43,0.25,0.17,0.42,0.25,0.42,0.08,0.11,0.20,0.08,0.20,Matches,60344e4f
116,Ben Davies,wls WAL,DF,Tottenham,29-319,1993,23,19,1705,18.9,2,2,4,2,0,0,3,0,0.9,0.9,2.1,3.0,32,90,46,0.11,0.11,0.21,0.11,0.21,0.05,0.11,0.16,0.05,0.16,Matches,44781702
117,Tom Davies,eng ENG,MF,Everton,24-252,1998,15,4,466,5.2,0,0,0,0,0,0,3,0,1.2,1.2,0.1,1.4,2,25,10,0.00,0.00,0.00,0.00,0.00,0.23,0.03,0.26,0.23,0.26,Matches,9228b07c
118,Craig Dawson,eng ENG,DF,West Ham,32-307,1990,8,8,720,8.0,0,0,0,0,0,0,2,0,0.5,0.5,0.1,0.6,0,18,1,0.00,0.00,0.00,0.00,0.00,0.06,0.01,0.07,0.06,0.07,Matches,3e9e06cb
119,Craig Dawson,eng ENG,DF,Wolves,32-307,1990,6,6,540,6.0,1,0,1,1,0,0,1,0,0.4,0.4,0.0,0.4,1,9,1,0.17,0.00,0.17,0.17,0.17,0.07,0.00,0.07,0.07,0.07,Matches,3e9e06cb
120,Kevin De Bruyne,be BEL,MF,Manchester City,31-254,1991,24,22,1926,21.4,4,12,16,4,0,0,1,0,4.1,4.1,10.4,14.5,86,187,186,0.19,0.56,0.75,0.19,0.75,0.19,0.49,0.68,0.19,0.68,Matches,e46012d4
121,Siriki Dembélé,ci CIV,FWMF,Bournemouth,26-183,1996,6,0,110,1.2,0,0,0,0,0,0,0,0,0.2,0.2,0.3,0.5,5,4,11,0.00,0.00,0.00,0.00,0.00,0.15,0.25,0.41,0.15,0.41,Matches,11f54bd5
122,Leander Dendoncker,be BEL,MF,Aston Villa,27-328,1995,13,3,365,4.1,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,1,10,1,0.00,0.00,0.00,0.00,0.00,0.01,0.11,0.12,0.01,0.12,Matches,5a7301ae
123,Leander Dendoncker,be BEL,MF,Wolves,27-328,1995,4,2,214,2.4,0,0,0,0,0,0,0,0,0.7,0.7,0.0,0.7,1,6,3,0.00,0.00,0.00,0.00,0.00,0.27,0.02,0.29,0.27,0.29,Matches,5a7301ae
124,Emmanuel Dennis,ng NGA,FW,Nott'ham Forest,25-114,1997,12,3,428,4.8,1,1,2,1,0,0,2,0,0.9,0.9,0.3,1.3,11,10,34,0.21,0.21,0.42,0.21,0.42,0.19,0.07,0.26,0.19,0.26,Matches,2c44a35d
125,Halil Dervişoğlu,tr TUR,MF,Brentford,23-091,1999,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.31,0.00,0.31,0.31,0.31,Matches,9d8cf204
126,Kiernan Dewsbury-Hall,eng ENG,MF,Leicester City,24-184,1998,23,22,1776,19.7,2,2,4,2,0,0,2,0,1.6,1.6,2.5,4.1,54,107,70,0.10,0.10,0.20,0.10,0.20,0.08,0.13,0.21,0.08,0.21,Matches,5c74c0f5
127,Ibrahima Diallo,fr FRA,MF,Southampton,24-001,1999,15,10,746,8.3,0,0,0,0,0,0,3,0,0.2,0.2,0.1,0.3,5,23,6,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.03,0.02,0.03,Matches,11ff3d56
128,Rúben Dias,pt POR,DF,Manchester City,25-299,1997,18,14,1279,14.2,0,0,0,0,0,0,1,0,1.2,1.2,0.1,1.3,7,68,1,0.00,0.00,0.00,0.00,0.00,0.08,0.01,0.09,0.08,0.09,Matches,31c69ef1
129,Luis Díaz,co COL,FW,Liverpool,26-055,1997,8,7,613,6.8,3,2,5,3,0,0,2,0,1.7,1.7,1.0,2.7,21,25,72,0.44,0.29,0.73,0.44,0.73,0.26,0.15,0.40,0.26,0.40,Matches,4a1a9578
130,Eric Dier,eng ENG,DF,Tottenham,29-053,1994,24,23,2095,23.3,2,1,3,2,0,0,2,0,1.1,1.1,1.2,2.3,6,71,11,0.09,0.04,0.13,0.09,0.13,0.05,0.05,0.10,0.05,0.10,Matches,ac861941
131,Lucas Digne,fr FRA,DF,Aston Villa,29-232,1993,19,16,1264,14.0,1,0,1,1,0,0,3,0,0.3,0.3,1.6,1.9,23,51,74,0.07,0.00,0.07,0.07,0.07,0.02,0.11,0.13,0.02,0.13,Matches,1b84dbe1
132,Issa Diop,fr FRA,DF,Fulham,26-059,1997,18,15,1416,15.7,1,0,1,1,0,0,2,0,0.3,0.3,0.0,0.3,8,53,3,0.06,0.00,0.06,0.06,0.06,0.02,0.00,0.02,0.02,0.02,Matches,a712ca2b
133,Moussa Djenepo,ml MLI,DFFW,Southampton,24-267,1998,12,6,578,6.4,0,1,1,0,0,0,0,0,0.2,0.2,0.3,0.4,23,17,32,0.00,0.16,0.16,0.00,0.16,0.03,0.04,0.07,0.03,0.07,Matches,254147d4
134,Ben Doak,sct SCO,FW,Liverpool,17-118,2005,2,0,26,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,1,4,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,733f1a7d
135,Matt Doherty,ie IRL,DFMF,Tottenham,31-052,1992,12,7,667,7.4,1,0,1,1,0,0,0,0,0.8,0.8,0.3,1.0,16,20,57,0.13,0.00,0.13,0.13,0.13,0.10,0.04,0.14,0.10,0.14,Matches,d557d734
136,Gabriel Dos Santos,br BRA,DF,Arsenal,25-080,1997,26,26,2340,26.0,2,0,2,2,0,0,4,0,3.5,3.5,0.2,3.6,12,111,11,0.08,0.00,0.08,0.08,0.08,0.13,0.01,0.14,0.13,0.14,Matches,67ac5bb8
137,Abdoulaye Doucouré,ml MLI,MF,Everton,30-067,1993,16,8,756,8.4,1,0,1,1,0,0,4,0,1.0,1.0,0.8,1.8,11,23,26,0.12,0.00,0.12,0.12,0.12,0.12,0.10,0.22,0.12,0.22,Matches,02b29014
138,Cheick Doucouré,ml MLI,MF,Crystal Palace,23-060,2000,23,23,1888,21.0,0,2,2,0,0,0,9,1,0.8,0.8,1.6,2.4,13,98,10,0.00,0.10,0.10,0.00,0.10,0.04,0.08,0.11,0.04,0.11,Matches,ce4f40c7
139,Flynn Downes,eng ENG,MF,West Ham,24-048,1999,12,4,397,4.4,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.3,1,7,8,0.00,0.00,0.00,0.00,0.00,0.06,0.01,0.07,0.06,0.07,Matches,69fdb896
140,Cody Drameh,eng ENG,DF,Leeds United,21-091,2001,1,1,69,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,e0d1510a
141,Martin Dúbravka,sk SVK,GK,Newcastle Utd,34-053,1989,1,0,67,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,3a949a25
142,Shane Duffy,ie IRL,FWDF,Fulham,31-067,1992,4,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,7314bba4
143,Lewis Dunk,eng ENG,DF,Brighton,31-108,1991,23,23,2069,23.0,0,0,0,0,0,0,2,0,1.0,1.0,0.3,1.3,11,90,1,0.00,0.00,0.00,0.00,0.00,0.04,0.01,0.06,0.04,0.06,Matches,282f75f3
144,Jhon Durán,co COL,FW,Aston Villa,19-086,2003,4,0,59,0.7,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,2,3,8,0.00,0.00,0.00,0.00,0.00,0.18,0.00,0.18,0.18,0.18,Matches,414184f7
145,Malcolm Ebiowei,eng ENG,MFFW,Crystal Palace,19-186,2003,3,0,34,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,2,9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,fa9fa773
146,Ederson,br BRA,GK,Manchester City,29-204,1993,26,26,2340,26.0,0,1,1,0,0,0,2,0,0.0,0.0,0.2,0.2,0,0,0,0.00,0.04,0.04,0.00,0.04,0.00,0.01,0.01,0.00,0.01,Matches,3bb7b8b4
147,Odsonne Édouard,fr FRA,FW,Crystal Palace,25-052,1998,22,12,1124,12.5,3,2,5,3,0,0,3,0,2.8,2.8,0.9,3.7,20,29,61,0.24,0.16,0.40,0.24,0.40,0.23,0.07,0.30,0.23,0.30,Matches,0562b7f1
148,Samuel Edozie,eng ENG,FWMF,Southampton,20-040,2003,15,5,541,6.0,0,0,0,0,0,0,0,0,0.9,0.9,0.3,1.2,22,11,34,0.00,0.00,0.00,0.00,0.00,0.15,0.06,0.20,0.15,0.20,Matches,007414dd
149,Anthony Elanga,se SWE,FW,Manchester Utd,20-316,2002,16,5,426,4.7,0,1,1,0,0,0,0,0,0.7,0.7,0.9,1.6,12,8,28,0.00,0.21,0.21,0.00,0.21,0.15,0.19,0.34,0.15,0.34,Matches,2fba6108
150,Harvey Elliott,eng ENG,MFFW,Liverpool,19-339,2003,25,15,1383,15.4,1,2,3,1,0,0,1,0,1.7,1.7,3.2,4.9,45,109,112,0.07,0.13,0.20,0.07,0.20,0.11,0.21,0.32,0.11,0.32,Matches,c8387671
151,Mohamed Elneny,eg EGY,MF,Arsenal,30-241,1992,5,1,113,1.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,47a34c4f
152,Mohamed Elyounoussi,no NOR,MFFW,Southampton,28-217,1994,23,19,1608,17.9,0,1,1,0,0,0,3,0,2.6,2.6,2.0,4.5,34,33,77,0.00,0.06,0.06,0.00,0.06,0.14,0.11,0.25,0.14,0.25,Matches,68dc0dac
153,Emerson,br BRA,DF,Tottenham,24-054,1999,21,16,1386,15.4,2,1,3,2,0,0,2,1,1.5,1.5,0.6,2.2,43,70,95,0.13,0.06,0.19,0.13,0.19,0.10,0.04,0.14,0.10,0.14,Matches,df8b52a5
154,Christian Eriksen,dk DEN,MF,Manchester Utd,31-023,1992,19,18,1489,16.5,1,7,8,1,0,0,3,0,2.7,2.7,3.0,5.7,16,104,42,0.06,0.42,0.48,0.06,0.48,0.16,0.18,0.34,0.16,0.34,Matches,980522ec
155,Pervis Estupiñán,ec ECU,DF,Brighton,25-047,1998,20,17,1397,15.5,0,3,3,0,0,0,3,0,0.3,0.3,2.7,3.1,53,87,103,0.00,0.19,0.19,0.00,0.19,0.02,0.18,0.20,0.02,0.20,Matches,d38fdf53
156,Jonny Evans,nir NIR,DF,Leicester City,35-065,1988,9,9,810,9.0,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,6,31,0,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches,f8fcd2a5
157,Eberechi Eze,eng ENG,MFFW,Crystal Palace,24-253,1998,25,20,1671,18.6,4,3,7,4,0,0,2,0,3.2,3.2,2.8,5.9,42,71,66,0.22,0.16,0.38,0.22,0.38,0.17,0.15,0.32,0.17,0.32,Matches,ae4fc6a4
158,Łukasz Fabiański,pl POL,GK,West Ham,37-325,1985,24,24,2031,22.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,9328b835
159,Fabinho,br BRA,MF,Liverpool,29-137,1993,23,18,1621,18.0,0,0,0,0,0,0,6,0,0.3,0.3,0.8,1.1,9,96,20,0.00,0.00,0.00,0.00,0.00,0.02,0.04,0.06,0.02,0.06,Matches,7f3b388c
160,Wout Faes,be BEL,DF,Leicester City,24-340,1998,19,19,1710,19.0,0,0,0,0,0,0,3,0,0.5,0.5,0.4,0.9,5,52,1,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.04,0.02,0.04,Matches,9c221d14
161,Felipe,br BRA,DF,Nott'ham Forest,33-297,1989,4,3,354,3.9,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,2,6,0,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02,Matches,51a3c4c8
162,João Félix,pt POR,MFFW,Chelsea,23-119,1999,5,5,386,4.3,1,0,1,1,0,0,0,1,2.0,2.0,0.4,2.4,13,25,36,0.23,0.00,0.23,0.23,0.23,0.47,0.10,0.57,0.47,0.57,Matches,8aafd64f
163,Evan Ferguson,ie IRL,FW,Brighton,18-141,2004,8,4,387,4.3,3,2,5,3,0,0,1,0,1.9,1.9,0.3,2.2,4,5,24,0.70,0.47,1.16,0.70,1.16,0.45,0.06,0.51,0.45,0.51,Matches,4596da74
164,Bruno Fernandes,pt POR,MFFW,Manchester Utd,28-182,1994,24,24,2158,24.0,5,6,11,4,1,1,5,0,5.2,4.4,9.4,13.9,51,157,144,0.21,0.25,0.46,0.17,0.42,0.22,0.39,0.61,0.19,0.58,Matches,507c7bdf
165,Enzo Fernández,ar ARG,MF,Chelsea,22-051,2001,5,5,443,4.9,0,1,1,0,0,0,0,0,0.3,0.3,0.6,0.9,8,52,6,0.00,0.20,0.20,0.00,0.20,0.07,0.12,0.19,0.07,0.19,Matches,5ff4ab71
166,Mateo Fernández,es ESP,FWMF,Leeds United,19-141,2003,3,0,26,0.3,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,0,2,0.00,0.00,0.00,0.00,0.00,0.40,0.00,0.40,0.40,0.40,Matches,6ad43f9a
167,Roberto Firmino,br BRA,FWMF,Liverpool,31-158,1991,18,11,1006,11.2,8,4,12,8,0,0,0,0,4.5,4.5,2.3,6.8,12,66,77,0.72,0.36,1.07,0.72,1.07,0.40,0.21,0.61,0.40,0.61,Matches,4c370d81
168,Junior Firpo,es ESP,DF,Leeds United,26-199,1996,9,5,569,6.3,1,0,1,1,0,0,2,0,0.1,0.1,0.4,0.4,12,29,17,0.16,0.00,0.16,0.16,0.16,0.01,0.06,0.07,0.01,0.07,Matches,24f59bb2
169,Phil Foden,eng ENG,FW,Manchester City,22-285,2000,23,16,1349,15.0,9,5,14,9,0,0,1,0,4.6,4.6,3.0,7.5,37,62,216,0.60,0.33,0.93,0.60,0.93,0.30,0.20,0.50,0.30,0.50,Matches,ed1e53f3
170,Datro Fofana,ci CIV,FW,Chelsea,20-077,2002,2,1,61,0.7,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,1,1,10,0.00,0.00,0.00,0.00,0.00,0.35,0.09,0.45,0.35,0.45,Matches,e82900ef
171,Wesley Fofana,fr FRA,DF,Leicester City,22-082,2000,2,2,180,2.0,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,3,6,1,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.06,0.06,0.06,Matches,132a82f1
172,Wesley Fofana,fr FRA,DF,Chelsea,22-082,2000,5,3,387,4.3,1,0,1,1,0,0,1,0,0.3,0.3,0.0,0.3,13,20,7,0.23,0.00,0.23,0.23,0.23,0.06,0.00,0.06,0.06,0.06,Matches,132a82f1
173,Pablo Fornals,es ESP,FWMF,West Ham,27-015,1996,21,11,1023,11.4,1,1,2,1,0,0,0,0,0.8,0.8,1.4,2.2,20,51,68,0.09,0.09,0.18,0.09,0.18,0.07,0.12,0.19,0.07,0.19,Matches,82927de4
174,Adam Forshaw,eng ENG,MF,Leeds United,31-152,1991,5,2,159,1.8,0,0,0,0,0,0,0,0,0.0,0.0,0.5,0.5,0,8,0,0.00,0.00,0.00,0.00,0.00,0.00,0.26,0.26,0.00,0.26,Matches,9f1938ab
175,Fraser Forster,eng ENG,GK,Tottenham,34-357,1988,5,5,450,5.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,c3e39f12
176,Tyrese Francois,au AUS,FW,Fulham,22-236,2000,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,6722d4f0
177,Ryan Fraser,sct SCO,FW,Newcastle Utd,29-013,1994,8,3,313,3.5,0,0,0,0,0,0,1,0,0.3,0.3,0.4,0.7,8,9,23,0.00,0.00,0.00,0.00,0.00,0.09,0.11,0.20,0.09,0.20,Matches,d56543a0
178,Fred,br BRA,MF,Manchester Utd,30-004,1993,22,10,968,10.8,2,1,3,2,0,0,5,0,1.8,1.8,2.1,3.8,7,52,35,0.19,0.09,0.28,0.19,0.28,0.16,0.19,0.36,0.16,0.36,Matches,b853e0ad
179,Ryan Fredericks,eng ENG,DF,Bournemouth,30-150,1992,11,5,522,5.8,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,13,15,28,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Matches,c067631c
180,Remo Freuler,ch SUI,MF,Nott'ham Forest,30-328,1992,21,19,1711,19.0,0,0,0,0,0,0,3,0,0.3,0.3,0.7,1.0,7,46,8,0.00,0.00,0.00,0.00,0.00,0.02,0.03,0.05,0.02,0.05,Matches,98d2c2c4
181,Cody Gakpo,nl NED,FW,Liverpool,23-306,1999,8,7,568,6.3,4,0,4,4,0,0,0,0,3.2,3.2,0.4,3.6,9,16,44,0.63,0.00,0.63,0.63,0.63,0.51,0.06,0.57,0.51,0.57,Matches,1971591f
182,Conor Gallagher,eng ENG,MFFW,Chelsea,23-031,2000,22,10,871,9.7,1,1,2,1,0,0,7,1,1.1,1.1,2.1,3.2,23,56,47,0.10,0.10,0.21,0.10,0.21,0.11,0.21,0.33,0.11,0.33,Matches,c2731c10
183,Idrissa Gana Gueye,sn SEN,MF,Everton,33-164,1989,21,20,1626,18.1,0,1,1,0,0,0,3,0,0.1,0.1,0.8,0.9,19,64,11,0.00,0.06,0.06,0.00,0.06,0.00,0.05,0.05,0.00,0.05,Matches,72c812f3
184,Alejandro Garnacho,es ESP,FWMF,Manchester Utd,18-251,2004,14,4,436,4.8,2,2,4,2,0,0,2,0,1.8,1.8,1.0,2.8,26,5,67,0.41,0.41,0.83,0.41,0.83,0.38,0.20,0.58,0.38,0.58,Matches,7aa8adfe
185,James Garner,eng ENG,MF,Everton,21-361,2001,6,0,142,1.6,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,1,5,1,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03,Matches,4e015693
186,David de Gea,es ESP,GK,Manchester Utd,32-122,1990,25,25,2250,25.0,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,7ba6d84e
187,Joe Gelhardt,eng ENG,FW,Leeds United,20-309,2002,15,1,212,2.4,0,2,2,0,0,0,1,0,0.8,0.8,0.5,1.3,2,6,21,0.00,0.85,0.85,0.00,0.85,0.36,0.20,0.55,0.36,0.55,Matches,01962d0d
188,Saman Ghoddos,ir IRN,MFFW,Brentford,29-184,1993,9,0,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.3,0,5,2,0.00,0.00,0.00,0.00,0.00,0.05,0.23,0.27,0.05,0.27,Matches,f7b1d4e0
189,Morgan Gibbs-White,eng ENG,FWMF,Wolves,23-041,2000,2,2,180,2.0,0,0,0,0,0,0,1,0,0.7,0.7,0.1,0.8,4,12,12,0.00,0.00,0.00,0.00,0.00,0.36,0.04,0.40,0.36,0.40,Matches,32f60ed8
190,Morgan Gibbs-White,eng ENG,MFFW,Nott'ham Forest,23-041,2000,22,21,1826,20.3,2,5,7,2,0,0,2,0,3.5,3.5,5.8,9.3,38,89,115,0.10,0.25,0.35,0.10,0.35,0.17,0.29,0.46,0.17,0.46,Matches,32f60ed8
191,Billy Gilmour,sct SCO,MF,Brighton,21-271,2001,7,2,163,1.8,0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.3,3,17,3,0.00,0.00,0.00,0.00,0.00,0.12,0.05,0.17,0.12,0.17,Matches,df10e27c
192,Degnand Gnonto,it ITA,FWMF,Leeds United,19-124,2003,14,11,979,10.9,2,1,3,2,0,0,4,0,1.4,1.4,1.4,2.8,50,21,105,0.18,0.09,0.28,0.18,0.28,0.13,0.13,0.26,0.13,0.26,Matches,75fdd638
193,Ben Godfrey,eng ENG,DF,Everton,25-053,1998,6,4,331,3.7,0,0,0,0,0,0,2,0,1.1,1.1,0.1,1.2,3,6,1,0.00,0.00,0.00,0.00,0.00,0.30,0.04,0.33,0.30,0.33,Matches,9f7c837d
194,João Gomes,br BRA,MFFW,Wolves,22-025,2001,3,0,69,0.8,1,0,1,1,0,0,1,0,0.2,0.2,0.0,0.2,2,1,1,1.30,0.00,1.30,1.30,1.30,0.28,0.00,0.28,0.28,0.28,Matches,8b57ad2c
195,Toti Gomes,pt POR,DF,Wolves,24-052,1999,7,3,310,3.4,0,0,0,0,0,0,2,0,0.0,0.0,0.1,0.1,0,7,2,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.02,0.00,0.02,Matches,f0caab96
196,Joe Gomez,eng ENG,DF,Liverpool,25-290,1997,19,13,1286,14.3,0,0,0,0,0,0,3,0,0.1,0.1,0.2,0.3,13,95,2,0.00,0.00,0.00,0.00,0.00,0.01,0.01,0.02,0.01,0.02,Matches,7a11550b
197,Sergio Gómez,es ESP,DFMF,Manchester City,22-186,2000,6,0,147,1.6,0,1,1,0,0,0,0,0,0.3,0.3,0.4,0.7,3,10,14,0.00,0.61,0.61,0.00,0.61,0.17,0.25,0.41,0.17,0.41,Matches,01e5f06e
198,Anthony Gordon,eng ENG,FWMF,Newcastle Utd,22-013,2001,4,1,165,1.8,0,0,0,0,0,0,1,0,0.3,0.3,0.6,0.9,6,5,15,0.00,0.00,0.00,0.00,0.00,0.17,0.33,0.50,0.17,0.50,Matches,2bd83368
199,Anthony Gordon,eng ENG,FW,Everton,22-013,2001,16,12,1095,12.2,3,0,3,3,0,0,6,0,3.3,3.3,0.6,3.9,28,19,67,0.25,0.00,0.25,0.25,0.25,0.27,0.05,0.32,0.27,0.32,Matches,2bd83368
200,Demarai Gray,eng ENG,FWMF,Everton,26-254,1996,24,20,1848,20.5,4,1,5,2,2,2,2,0,4.9,3.3,2.7,6.1,71,40,139,0.19,0.05,0.24,0.10,0.15,0.24,0.13,0.37,0.16,0.29,Matches,4468ec10
201,Jack Grealish,eng ENG,FW,Manchester City,27-180,1995,20,16,1435,15.9,3,4,7,3,0,0,2,0,3.1,3.1,4.6,7.7,104,57,207,0.19,0.25,0.44,0.19,0.44,0.20,0.29,0.49,0.20,0.49,Matches,b0b4fd3e
202,Sam Greenwood,eng ENG,MFFW,Leeds United,21-042,2002,15,2,339,3.8,1,2,3,1,0,0,1,0,0.6,0.6,1.1,1.7,7,13,7,0.27,0.53,0.80,0.27,0.80,0.17,0.29,0.45,0.17,0.45,Matches,f3354c07
203,Pascal Groß,de GER,MFDF,Brighton,31-267,1991,23,23,2001,22.2,6,4,10,6,0,0,2,0,3.4,3.4,6.7,10.1,36,158,131,0.27,0.18,0.45,0.27,0.45,0.15,0.30,0.45,0.15,0.45,Matches,8aec0537
204,Vicente Guaita,es ESP,GK,Crystal Palace,36-058,1987,25,25,2250,25.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,Matches,ab13a5aa
205,Gonçalo Guedes,pt POR,FWMF,Wolves,26-100,1996,13,8,707,7.9,1,1,2,1,0,0,1,0,1.2,1.2,0.5,1.7,20,16,54,0.13,0.13,0.25,0.13,0.25,0.15,0.06,0.22,0.15,0.22,Matches,e6bc67d7
206,Marc Guéhi,eng ENG,DF,Crystal Palace,22-239,2000,24,24,2160,24.0,0,0,0,0,0,0,7,0,0.6,0.6,0.2,0.8,8,71,2,0.00,0.00,0.00,0.00,0.00,0.03,0.01,0.03,0.03,0.03,Matches,d0706b27
207,Bruno Guimarães,br BRA,MF,Newcastle Utd,25-113,1997,18,18,1487,16.5,3,3,6,3,0,0,4,0,0.9,0.9,1.8,2.7,18,116,12,0.18,0.18,0.36,0.18,0.36,0.05,0.11,0.16,0.05,0.16,Matches,82518f62
